Destination country (across)                                                              -                                                   Source country (down) ,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,São Tomé and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,Other South,Other North,TOTAL
Benin,,0,,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,559,0,0,0,0,0,0,,0,0,0,"6,513",0,0,0,517,0,0,205,0,,2,,0,0,,"5,624",0,"62,371",0,0,7,28,39,0,0,27,3,0,0,0,,0,0,0,0,2,"17,163",0,"32,173",0,0,"1,889",,,4,,,0,0,"2,310",0,0,0,0,0,20,0,0,0,0,0,38,,0,"2,768",0,31,0,0,0,0,,0,,0,0,0,0,,0,270,0,0,0,13,0,0,0,0,0,,577,0,0,929,0,,0,0,0,0,0,,,0,0,0,0,244,0,0,7,0,"27,691","238,561",0,10,0,,0,1,0,0,0,0,7,37,0,0,0,0,0,0,0,0,0,0,,,0,0,12,0,0,,0,492,0,0,0,0,0,0,0,30,221,0,0,0,0,0,"74,336",0,0,0,4,0,,,0,0,0,317,"1,415",0,0,0,0,,0,0,0,0,0,"54,669",,"532,166"
Bermuda,,0,,0,0,0,10,0,0,0,420,0,0,12,0,0,0,0,21,0,0,0,0,0,0,,0,0,0,0,0,0,0,"2,253",0,41,0,0,,5,,0,0,,0,0,0,0,0,2,3,0,0,0,14,10,0,0,0,,0,0,0,0,0,82,0,0,0,0,0,,,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,184,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,22,0,0,210,0,0,0,0,15,0,,0,4,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,"3,955","7,774",0,0,0,0,,0,0,0,0,0,6,291,"15,679"
Bhutan,,0,,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,104,0,0,0,0,0,0,,0,0,0,0,0,0,0,38,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,17,0,0,14,0,0,0,0,,0,0,0,0,0,272,0,0,0,0,557,,,6,,,0,0,0,0,0,0,0,0,4,0,"6,915",0,0,0,7,,0,20,0,71,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,"31,053",93,0,0,16,0,0,0,0,26,0,,0,7,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16,74,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,114,420,0,0,0,0,,0,0,0,0,0,"4,599",,"44,659"
Bolivia,,0,,0,0,0,0,"220,869",0,0,841,0,0,0,0,0,0,0,965,44,0,0,0,0,0,,"20,513",0,0,0,0,0,0,"4,383",0,6,0,0,,"18,707",,658,0,,0,0,0,0,0,11,48,275,0,0,542,"2,094",0,0,0,,0,0,0,0,89,"1,346",0,0,0,0,"2,565",,,9,,,0,106,0,0,0,23,91,0,55,0,0,0,0,0,36,,0,"7,858",0,"6,580",0,0,0,0,,0,,0,0,0,0,,0,0,0,0,1,13,0,0,0,0,0,,0,0,0,0,0,,"2,000",0,0,0,0,,,0,0,0,0,670,0,0,151,59,0,0,0,454,0,,0,274,0,996,"2,314",662,27,73,0,0,0,0,0,0,0,0,0,0,,,0,0,9,0,0,,0,"274,602",0,0,0,0,0,0,0,"3,075","1,430",0,0,0,0,0,0,0,0,0,10,0,,,0,0,0,"1,514","72,890",326,0,0,"1,798",,0,0,0,0,0,"32,938",,"684,998"
Bosnia and Herzegovina,,0,,0,0,0,0,586,0,0,"39,732","162,362",0,0,0,0,0,0,63,0,0,0,0,0,0,,675,0,0,0,0,0,0,"33,445",0,0,0,0,,19,,0,0,,0,0,0,"532,528",0,61,"1,457","22,977",0,0,9,13,0,0,0,,0,0,0,0,"2,891","14,749",0,0,0,0,"252,262",,,444,,,0,0,0,0,0,0,0,0,90,339,0,0,0,0,"2,377",,0,"35,571",0,26,0,0,0,0,,0,,0,0,0,0,,0,0,0,316,0,"2,081",0,"3,046",0,0,0,,0,0,0,0,0,,27,0,0,0,0,,,0,0,0,0,611,0,0,532,0,0,0,0,"17,181",0,,0,7,0,0,11,0,"3,487",63,0,0,0,0,0,0,0,0,0,0,,,0,0,358,"82,669",0,,0,"2,344",0,0,0,0,0,0,0,"59,264","52,078",0,0,0,0,0,0,0,0,0,"2,653",0,,,0,0,0,"8,864","121,495",6,0,0,15,,0,0,0,0,0,856,,"1,460,639"
Botswana,,0,,0,0,0,0,0,0,0,"1,156",0,0,0,0,0,0,0,28,3,0,0,0,0,0,,0,0,0,0,0,0,0,252,0,3,0,0,,0,,0,0,,0,0,0,0,0,9,2,71,0,0,0,7,0,0,0,,0,0,0,0,5,195,0,0,0,0,149,,,3,,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,272,,0,14,0,10,0,0,0,0,,0,,0,0,0,0,,86,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,0,"2,741",0,211,0,0,138,0,0,0,0,135,0,,0,1,0,0,1,0,0,48,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,"41,846",35,0,0,0,0,0,0,0,68,26,0,0,398,0,0,0,0,0,0,15,0,,,0,0,0,"2,717","1,922",0,0,0,0,,0,0,0,275,"4,244","6,006",,"63,092"
Brazil,,0,,0,0,0,0,"32,839",0,0,"10,511","3,557",0,43,0,0,0,0,"5,444",12,0,0,0,"24,189",0,,0,0,0,0,0,0,0,"17,607",142,88,0,0,,"11,820",,"1,878",0,,0,0,0,127,0,54,116,"2,166",0,0,"1,417","3,636",0,232,0,,0,0,0,0,496,"28,560",0,0,0,0,"38,079",,,"1,258",,,0,187,244,0,"1,467",64,146,0,218,59,0,0,0,0,"6,968",,0,"49,213",0,"320,624",872,0,0,0,,0,,0,0,0,0,,0,0,0,0,42,669,0,0,0,0,0,,0,0,0,272,0,,"3,380",0,0,0,0,,,0,0,0,0,"11,908",0,0,"1,926",170,0,0,0,"2,374",0,,0,"1,164",0,"76,315","1,816","5,162",261,"70,350",0,0,0,0,0,0,0,0,0,0,,,0,0,116,0,0,,0,"162,205",0,0,8,0,0,"6,783",0,"4,877","16,820",0,0,0,0,0,0,0,0,0,385,0,,,0,0,0,"57,245","339,141","11,712",0,0,"4,720",,0,0,0,0,0,"23,131",,"1,367,287"
Brunei Darussalam,,0,,0,0,0,0,0,0,0,"3,153",0,0,0,0,0,0,0,19,0,0,0,0,0,0,,0,0,0,0,0,0,0,"5,151",0,0,0,0,,0,,0,0,,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,48,0,0,0,0,59,,,0,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,52,,0,0,0,30,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,"7,905",,0,0,0,0,0,,1,0,0,0,0,,,0,0,0,0,583,0,0,312,0,0,0,0,31,0,,0,0,0,0,5,"1,003",0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,,0,38,0,0,0,0,0,0,0,2,43,0,0,0,0,0,0,0,0,0,11,0,,,0,0,0,"3,685",853,0,0,0,1,,0,0,0,0,0,"1,081",267,"24,343"
Bulgaria,,0,,0,0,0,0,0,0,0,"3,469","9,199",0,0,0,0,0,0,"3,097",0,0,0,0,27,0,,284,0,0,0,0,0,0,"18,568",0,0,0,0,,168,,0,0,,0,0,0,0,131,"5,434","4,736","1,358",0,0,533,267,0,0,0,,0,0,0,0,860,"16,493",0,0,0,"1,200","74,675",,,"53,973",,,0,0,0,0,0,0,0,0,"1,646",173,0,0,0,0,"1,364",,"14,568","43,530",0,464,0,"3,430",0,0,,0,,0,0,0,0,,0,0,0,0,18,200,0,0,0,0,0,,0,0,0,0,0,,322,0,"42,871",0,0,,,0,0,0,0,"7,639",0,0,811,108,0,0,0,"1,504",0,,0,99,0,0,42,"1,319","2,063",886,0,0,"19,752",0,0,0,0,0,0,0,,,0,0,"1,093",206,0,,0,"173,255",0,0,0,0,0,0,0,"4,636","3,086",0,0,0,0,0,0,0,0,0,"538,686",0,,,0,0,0,"35,388","33,611",71,0,0,109,,0,0,0,0,0,"73,776",,"1,201,191"
Burkina Faso,,0,,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,524,0,"10,606",0,0,0,0,,0,0,0,0,0,0,0,441,0,0,98,0,,0,,0,0,,0,0,"1,310,892",0,0,0,6,39,0,0,0,7,0,0,0,,0,0,0,0,2,"5,324",0,"3,767",0,0,"3,675",,,4,,,0,0,472,0,0,0,0,0,5,0,0,0,0,0,13,,0,"11,651",0,13,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,,"22,365",0,0,0,0,,3,0,0,0,0,,,0,0,0,0,309,0,0,3,0,"29,881","8,307",0,15,0,,0,1,0,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,,0,708,0,0,0,0,0,0,0,53,261,0,0,0,0,0,0,0,0,0,6,0,,,0,0,0,131,810,0,0,0,0,,0,0,0,0,0,"167,834",,"1,578,271"
Burundi,,0,,0,0,0,0,0,0,0,"1,261",0,0,0,0,0,0,0,"4,991",0,0,0,0,2,0,,0,0,0,0,0,0,0,"4,860",0,0,27,0,,2,,0,0,,0,0,0,0,0,4,1,391,0,0,5,0,0,0,0,,0,0,0,0,10,"1,370",0,0,0,0,740,,,40,,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,90,,0,653,0,15,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,37,0,0,0,0,0,,0,0,0,0,0,,3,0,0,0,0,,,0,0,0,0,"2,698",0,0,128,0,0,0,0,180,0,,0,1,0,0,1,0,3,21,0,0,0,0,"44,785",0,0,0,0,0,,,0,0,4,0,0,,0,121,0,0,0,0,0,0,0,515,388,0,0,"151,313",0,0,0,0,0,0,3,0,,,"101,826",0,0,"2,678","1,187",0,0,0,0,,0,0,0,0,0,"36,071",,"356,427"
Cambodia,,0,,0,0,0,0,0,0,0,"30,167",797,0,0,0,0,0,0,"1,456",0,0,0,0,2,0,,0,0,0,0,0,0,0,"23,504",0,0,0,0,,7,,0,0,,0,0,0,0,0,2,16,180,0,0,176,26,0,0,0,,0,0,0,0,170,"69,859",0,0,0,0,"1,279",,,7,,,0,0,0,0,0,0,0,0,52,0,0,0,0,0,16,,0,376,0,"2,503",0,0,0,0,,"3,053",,0,0,909,0,,0,0,0,0,0,28,0,0,0,0,0,,0,0,0,0,0,,3,0,0,0,0,,,0,0,0,0,663,0,0,"6,402",0,0,0,0,273,0,,0,15,0,0,1,232,23,3,0,0,0,0,0,0,0,0,0,0,,,0,0,8,0,0,,0,114,0,0,0,0,0,0,0,430,"2,073",0,0,0,"49,750",0,0,0,0,0,8,0,,,0,0,0,935,"148,774",3,0,0,0,,0,0,0,0,0,"6,190",,"350,485"
Cameroon,,0,,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,"3,209",0,0,0,0,3,0,,0,0,0,0,0,0,0,"3,597",0,0,"6,993","48,547",,7,,0,0,,"3,135",0,0,0,0,51,6,255,0,0,5,63,0,0,"2,067",,0,0,0,0,48,"68,250",0,"33,876",0,0,"15,559",,,172,,,0,0,0,0,0,0,0,0,67,0,0,0,0,0,586,,0,"9,024",0,264,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,105,0,0,0,0,0,,630,0,0,663,0,,6,0,0,0,0,,,0,0,0,0,"1,752",0,0,23,2,0,"25,296",0,451,0,,0,0,0,0,2,0,11,82,0,0,0,0,0,0,0,0,0,0,,,0,0,4,0,0,,0,"5,517",0,0,0,0,0,0,0,311,"2,842",0,0,0,0,0,0,0,0,0,18,0,,,0,0,0,"4,282","26,912",0,0,0,4,,0,0,0,43,0,"14,441",,"279,388"
